Name,total_rev,t_fed_rev,t_st_rev,t_loc_rev
"COMAL ISD, TX",11224,1132,2058,8034
"COMANCHE ISD, TX",10842,1332,6532,2978
"COMFORT ISD, TX",11607,1222,3369,7017
"COMMERCE ISD, TX",11952,2877,4513,4562
"COMMUNITY ISD, TX",9630,796,4154,4680
"COMO-PICKTON CISD, TX",9921,1469,6514,1938
"COMPASS ACADEMY CHARTER SCHOOL, TX",_,_,_,_
"COMQUEST ACADEMY, TX",11675,614,10880,181
"COMSTOCK ISD, TX",15659,806,3872,10981
"CONNALLY ISD, TX",9535,1582,5034,2919
"CONROE ISD, TX",9241,1024,2837,5379
"COOLIDGE ISD, TX",11804,1688,8449,1668
"COOPER ISD, TX",11913,1969,6768,3177
"COPPELL ISD, TX",12838,555,1502,10781
"COPPERAS COVE ISD, TX",10371,2858,5340,2172
"CORPUS CHRISTI ISD, TX",9518,1950,3866,3702
"CORPUS CHRISTI MONTESSORI SCHOOL, TX",7403,348,7039,17
"CORRIGAN-CAMDEN ISD, TX",10842,1761,5789,3292
"CORSICANA ISD, TX",9331,1490,4569,3272
"CORSICANA RESIDENTIAL TREATMENT CENTER, TX",_,_,_,_
"COTTON CENTER ISD, TX",15117,1583,8958,4575
"COTULLA ISD, TX",13823,1608,5088,7127
"COUPLAND ISD, TX",10581,1468,4105,5008
"COVINGTON ISD, TX",11367,1367,5287,4713
"CRANDALL ISD, TX",9529,728,5356,3445
"CRANE ISD, TX",30464,1124,5098,24243
"CRANFILLS GAP ISD, TX",14737,2351,5667,6719
"CRAWFORD ISD, TX",9461,621,5480,3360
"CROCKETT COUNTY CONSOLIDATED CSD, TX",43249,1049,3902,38298
"CROCKETT ISD, TX",10664,2309,4538,3817
"CROCKETT STATE SCHOOL, TX",_,_,_,_
"CROSBY ISD, TX",9555,1007,4646,3903
"CROSBYTON CISD, TX",13002,1665,8722,2615
"CROSS PLAINS ISD, TX",12046,1231,7440,3375
"CROSS ROADS ISD, TX",10279,918,2995,6366
"CROSSTIMBERS ACADEMY, TX",9479,907,8529,43
"CROWELL ISD, TX",13313,1588,7758,3967
"CROWLEY ISD, TX",9326,1086,3319,4921
"CRYSTAL CITY ISD, TX",12056,2972,7425,1659
"CUERO ISD, TX",12238,3205,5637,3395
"CULBERSON COUNTY-ALLAMOORE ISD, TX",13219,1813,3806,7600
"CUMBERLAND ACADEMY, TX",8757,773,7850,134
"CUMBY ISD, TX",11318,1841,7325,2152
"CUSHING ISD, TX",18155,988,5762,11406
"CYPRESS-FAIRBANKS ISD, TX",8982,1228,3212,4542
"D'HANIS ISD, TX",12820,1491,7213,4116
"DAINGERFIELD-LONE STAR ISD, TX",11860,2048,2889,6923
"DALHART ISD, TX",10709,1614,4565,4530
"DALLAS CAN ACADEMY CHARTER, TX",12053,2533,9376,144
"DALLAS COMMUNITY CHARTER SCHOOL, TX",6987,689,5791,507
"DALLAS COUNTY JUVENILE JUSTICE, TX",13844,3020,10086,738
"DALLAS ISD, TX",11052,2250,2857,5945
"DAMON ISD, TX",13448,1547,8713,3188
"DANBURY ISD, TX",9811,664,5676,3471
"DARROUZETT ISD, TX",23259,1076,4899,17285
"DAWSON ISD, TX",11000,1634,6241,3125
"DAWSON ISD, TX",22512,1262,2982,18268
"DAYTON ISD, TX",8835,1032,4223,3580
"DE LEON ISD, TX",12148,2598,6285,3265
"DECATUR ISD, TX",13739,880,2315,10544
"DEER PARK ISD, TX",10980,1148,2065,7768
"DEKALB ISD, TX",9740,991,6358,2390
"DEL VALLE ISD, TX",10735,1747,4698,4290
"DELL CITY ISD, TX",17238,3305,7295,6638
"DENISON ISD, TX",10103,1540,4365,4198
"DENTON ISD, TX",11195,1065,3617,6514
"DENVER CITY ISD, TX",28826,1162,2692,24972
"DESOTO ISD, TX",9792,1709,4316,3768
"DETROIT ISD, TX",14368,4094,8138,2136
"DEVERS ISD, TX",23258,938,4713,17607
"DEVINE ISD, TX",10459,1405,6637,2417
"DEW ISD, TX",32104,829,5128,26146
"DEWEYVILLE ISD, TX",11280,1231,2091,7958
"DIBOLL ISD, TX",9821,2187,5507,2127
"DICKINSON ISD, TX",10169,1420,4359,4390
"DILLEY ISD, TX",12176,2324,7508,2344
"DIME BOX ISD, TX",16253,1489,2167,12598
"DIMMITT ISD, TX",11570,2419,6522,2629
"DIVIDE ISD, TX",26000,42,4833,21125
"DODD CITY ISD, TX",9483,924,6681,1878
"DONNA ISD, TX",12432,2942,8593,897
"DOSS CONSOLIDATED CSD, TX",29850,1450,11950,16450
"DOUGLASS ISD, TX",10933,649,5282,5003
"DR M L GARZA-GONZALEZ CHARTER SCHOOL, TX",10300,3181,7027,92
"DRAW ACADEMY, TX",10471,1645,8509,317
"DRIPPING SPRINGS ISD, TX",11489,649,1751,9088
"DRISCOLL ISD, TX",20554,2884,11459,6211
"DUBLIN ISD, TX",11414,2511,5921,2981
"DUMAS ISD, TX",9947,1269,3302,5377
"DUNCANVILLE ISD, TX",9685,1695,4204,3786
"EAGLE MT-SAGINAW ISD, TX",10208,910,3560,5739
"EAGLE PASS ISD, TX",9657,2038,6142,1476
"EANES ISD, TX",18325,916,2131,15278
"EARLY ISD, TX",11779,1731,6967,3082
"EAST BERNARD ISD, TX",9666,1109,4429,4128
"EAST CENTRAL ISD, TX",9376,1345,5123,2908
"EAST CHAMBERS ISD, TX",10979,1270,5965,3744
"EAST FORT WORTH MONTESSORI ACADEMY, TX",8859,1319,6905,635
"EAST TEXAS CHARTER SCHOOLS, TX",8879,510,8096,274
"EASTLAND ISD, TX",9112,993,4577,3542
"ECTOR COUNTY ISD, TX",8713,1434,3162,4117
"ECTOR ISD, TX",10880,852,8124,1905
"EDCOUCH-ELSA ISD, TX",11221,3075,7439,707
"EDEN CISD, TX",12190,1624,4578,5989
"EDEN PARK ACADEMY, TX",9750,802,8009,940
"EDGEWOOD ISD, TX",11977,2725,5972,3279
"EDGEWOOD ISD, TX",11015,2834,6975,1206
"EDINBURG CISD, TX",10097,2220,5688,2189
"EDNA ISD, TX",12029,2156,5748,4125
"EDUCATION CENTER INTERNATIONAL ACADEMY, TX",8392,581,7774,37
"EHRHART SCHOOL, TX",10183,1401,8723,59
"EL CAMPO ISD, TX",10679,1678,4833,4168
"EL PASO ACADEMY, TX",7814,702,7065,48
"EL PASO ISD, TX",9263,1490,4794,2979
"EL PASO SCHOOL OF EXCELLENCE, TX",¾,¾,¾,¾
"ELECTRA ISD, TX",12342,1918,4256,6168
"ELGIN ISD, TX",10658,1711,5131,3816
"ELKHART ISD, TX",9114,773,5553,2788
"ELYSIAN FIELDS ISD, TX",11009,805,2625,7579
"ENCINO SCHOOL, TX",_,_,_,_
"ENNIS ISD, TX",10110,1120,4076,4914
"ERA ISD, TX",9947,794,5785,3368
"ERATH EXCELS ACADEMY INC, TX",11442,994,10350,98
"ETOILE ISD, TX",9945,1636,4842,3467
"EULA ISD, TX",12016,1016,3185,7815
"EUSTACE ISD, TX",10017,1761,3675,4581
"EVADALE ISD, TX",14044,1418,1650,10977
"EVANT ISD, TX",10421,1245,5348,3828
"EVERMAN ISD, TX",9489,1479,4890,3120
"EVINS REGIONAL JUVENILE CENTER, TX",_,_,_,_
"EVOLUTION ACADEMY CHARTER SCHOOL, TX",7655,1502,6152,0
"EXCEL ACADEMY, TX",17996,6125,11828,43
"EXCELSIOR ISD, TX",11905,1897,5095,4914
"EZZELL ISD, TX",20758,2758,2113,15887
"FABENS ISD, TX",11230,2524,7878,828
"FAIRFIELD ISD, TX",20723,1980,3051,15692
"FAITH FAMILY ACADEMY OF OAK CLIFF, TX",10045,1748,8272,25
"FALLS CITY ISD, TX",10929,737,6478,3714
"FANNINDEL ISD, TX",13559,1575,7608,4376
"FARMERSVILLE ISD, TX",9999,1194,5500,3305
"FARWELL ISD, TX",10141,914,6219,3009
"FAYETTEVILLE ISD, TX",10703,817,1205,8680
"FERRIS ISD, TX",9765,1457,6352,1957
"FLATONIA ISD, TX",10862,1306,4042,5514
"FLORENCE ISD, TX",11073,1287,5695,4090
"FLORESVILLE ISD, TX",11053,1574,5313,4166
"FLOUR BLUFF ISD, TX",8728,1176,2772,4780
"FLOYDADA ISD, TX",13265,2747,6562,3956
"FOCUS LEARNING ACADEMY, TX",12519,2613,9665,241
"FOLLETT ISD, TX",23869,920,4749,18200
"FORESTBURG ISD, TX",11694,1266,3446,6982
"FORNEY ISD, TX",9242,772,3775,4695
"FORSAN ISD, TX",15366,926,3418,11022
"FORT BEND ISD, TX",9041,807,3225,5008
"FORT ELLIOTT CISD, TX",101833,813,9806,91215
"FORT STOCKTON ISD, TX",14911,1552,3008,10351
"FORT WORTH ACADEMY OF FINE ARTS, TX",8512,398,7668,446
"FORT WORTH CAN ACADEMY, TX",9491,1467,7877,148
"FORT WORTH ISD, TX",10237,2227,3696,4314
"FRANKLIN ISD, TX",49872,1558,7459,40855
"FRANKSTON ISD, TX",9450,949,4441,4060
"FREDERICKSBURG ISD, TX",12858,1130,2413,9315
"FREER ISD, TX",13996,1502,4982,7513
"FRENSHIP ISD, TX",10096,998,3655,5443
"FRIENDSWOOD ISD, TX",8752,576,2769,5406
"FRIONA ISD, TX",11075,1903,6534,2639
"FRISCO ISD, TX",10133,552,3061,6520
"FROST ISD, TX",11165,1034,7248,2883
"FRUIT OF EXCELLENCE, TX",¾,¾,¾,¾
"FRUITVALE ISD, TX",10835,1481,7505,1849
"FT DAVIS ISD, TX",14267,1502,6897,5868
"FT HANCOCK ISD, TX",17004,2799,10851,3354
"FT SAM HOUSTON ISD, TX",15780,9609,5899,272
"GABRIEL TAFOLLA ACADEMY, TX",13855,2303,8908,2645
"GAINESVILLE ISD, TX",10017,1885,3773,4359
"GAINESVILLE STATE SCHOOL, TX",_,_,_,_
"GALENA PARK ISD, TX",10426,1596,4751,4079
"GALVESTON ISD, TX",13176,3742,986,8448
"GANADO ISD, TX",10644,1608,5812,3224
"GARLAND ISD, TX",9431,1617,4641,3174
"GARNER ISD, TX",12387,1642,2706,8039
"GARRISON ISD, TX",13098,2566,6876,3657
"GARY ISD, TX",14446,1151,3990,9305
"GATESVILLE ISD, TX",8822,771,5472,2578
"GATEWAY (STUDENT ALTERNATIVE PROGRAM INC), TX",12587,1407,11171,8
"GATEWAY CHARTER ACADEMY, TX",10365,1442,8731,192
"GAUSE ISD, TX",11282,1006,5088,5188
"GEORGE GERVIN ACADEMY, TX",_,_,_,_
"GEORGE I SANCHEZ CHARTER, TX",11520,2505,8529,486
"GEORGE I SANCHEZ CHARTER HS SAN ANTONIO BRANCH, TX",6030,2863,3157,10
"GEORGE WEST ISD, TX",10680,1275,4195,5209
"GEORGETOWN ISD, TX",10520,968,2519,7033
"GHOLSON ISD, TX",11306,1319,7243,2743
"GIDDINGS ISD, TX",11724,1543,3718,6463
"GIDDINGS STATE SCHOOL, TX",_,_,_,_
"GILMER ISD, TX",9610,1182,3794,4634
"GIRLS & BOYS PREPARATORY ACADEMY, TX",10894,2145,8592,156
"GLADEWATER ISD, TX",9155,1139,4820,3196
"GLASSCOCK COUNTY ISD, TX",51996,795,1989,49212
"GLEN ROSE ISD, TX",23346,1188,3049,19110
"GODLEY ISD, TX",15227,2203,3081,9943
"GOLD BURG ISD, TX",16151,1491,5887,8774
"GOLDEN RULE CHARTER SCHOOL, TX",8962,1365,7491,106
"GOLDTHWAITE ISD, TX",11574,2842,5551,3181
"GOLIAD ISD, TX",13612,1123,3791,8697
"GONZALES ISD, TX",9526,1394,5390,2743
"GOODRICH ISD, TX",12158,1510,5482,5166
"GOOSE CREEK CISD, TX",11207,1425,4328,5454
"GORDON ISD, TX",12126,784,3441,7901
"GORMAN ISD, TX",16841,5794,8296,2751
"GRADY ISD, TX",44416,942,2854,40619
"GRAFORD ISD, TX",28258,1205,1185,25869
"GRAHAM ISD, TX",9992,1261,5007,3724
"GRANBURY ISD, TX",11851,1260,2050,8541
"GRAND PRAIRIE ISD, TX",9567,1420,5322,2824
"GRAND SALINE ISD, TX",11576,1704,7127,2745
"GRANDFALLS-ROYALTY ISD, TX",15487,2336,1115,12035
"GRANDVIEW ISD, TX",10309,690,5234,4385
"GRANDVIEW-HOPKINS ISD, TX",35364,932,7114,27318
"GRANGER ISD, TX",10863,1827,5933,3104
"GRAPE CREEK ISD, TX",11010,1486,7435,2090
"GRAPELAND ISD, TX",11600,1293,4291,6016
"GRAPEVINE-COLLEYVILLE ISD, TX",13050,1036,1600,10413
"GREENVILLE ISD, TX",9700,2030,3584,4086
"GREENWOOD ISD, TX",9610,612,2933,6066
"GREGORY-PORTLAND ISD, TX",9332,1079,4163,4090
"GROESBECK ISD, TX",19753,1285,3528,14939
"GROOM ISD, TX",14488,976,5220,8291
"GROVETON ISD, TX",13073,3004,6211,3857
"GRUVER ISD, TX",21441,986,7966,12489
"GUARDIAN ANGEL PERFORMANCE ARTS ACADEMY, TX",¾,¾,¾,¾
"GUNTER ISD, TX",16886,4989,6432,5466
"GUSTINE ISD, TX",11482,1386,7741,2355
"GUTHRIE CSD, TX",38328,793,5940,31595
"HALE CENTER ISD, TX",13364,3586,7642,2136
"HALLETTSVILLE ISD, TX",13187,856,3979,8352
"HALLSBURG ISD, TX",12404,1468,3011,7926
"HALLSVILLE ISD, TX",11821,1702,3202,6917
"HAMILTON ISD, TX",10675,898,5443,4334
"HAMLIN ISD, TX",12174,1481,6198,4495
"HAMSHIRE-FANNETT ISD, TX",9513,1025,3095,5393
"HAPPY ISD, TX",11347,865,7076,3406
"HARDIN ISD, TX",10433,1157,6467,2810
"HARDIN-JEFFERSON ISD, TX",10819,1143,2593,7082
"HARLANDALE ISD, TX",11020,2560,6903,1558
"HARLETON ISD, TX",10371,1097,6081,3193
"HARLINGEN CISD, TX",9729,1992,5479,2258
"HARMONY ISD, TX",9905,945,4675,4284
"HARMONY SCHOOL OF EXCELLENCE, TX",8388,707,7296,384
"HARMONY SCHOOL OF INNOVATION, TX",¾,¾,¾,¾
"HARMONY SCHOOL OF SCIENCE - HOUSTON, TX",9407,1098,7846,463
"HARMONY SCHOOL OF SCIENCE AUSTIN, TX",¾,¾,¾,¾
"HARMONY SCIENCE ACAD (BEAUMONT), TX",¾,¾,¾,¾
"HARMONY SCIENCE ACAD (COLLEGE STATION), TX",¾,¾,¾,¾
"HARMONY SCIENCE ACAD (EL PASO), TX",8977,830,7714,433
"HARMONY SCIENCE ACAD (FORT WORTH), TX",8709,769,7604,336
"HARMONY SCIENCE ACAD (LUBBOCK), TX",8952,970,7314,668
"HARMONY SCIENCE ACAD (SAN ANTONIO), TX",9456,1167,7976,313
"HARMONY SCIENCE ACAD (WACO), TX",8442,523,7403,516
