CAMPUS,C20AD12R,C20BKA12R,C20BTA12R,C30AD12R,C30BKA12R,C30BTA12R,C40AD12R,C40BKA12R,C40BTA12R,CA0AD12R,CA0BKA12R,CA0BTA12R,CAHEE12R,CB0AD12R,CB0BKA12R,CB0BTA12R,CE0AD12R,CE0BKA12R,CE0BTA12R,CF0AD12R,CF0BKA12R,CF0BTA12R,CH0AD12R,CH0BKA12R,CH0BTA12R,CI0AD12R,CI0BKA12R,CI0BTA12R,CL0AD12R,CM0AD12R,CM0BKA12R,CM0BTA12R,CR0AD12R,CS0AD12R,CW0AD12R,CW0BKA12R,CW0BTA12R
"227910109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227910110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227910111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227910112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227912001",16.7,-1,-1,-1,-1,-1,-1,.,.,19.2,63.6,29.4,62,0,.,-1,11.5,50,22.2,20.5,62.5,25.8,18,40,28.6,-1,-1,-1,.,18.1,64.5,33,1.4,6.1,19.5,69,29.6
"227912041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227912101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913001",37.8,70.6,42.5,59.2,85.7,73.7,-1,-1,-1,33.7,84.2,34.7,68.4,29,-1,8.3,16.6,81.3,16,39.4,82.7,43.1,28.2,82.7,29.7,0,.,0,15.2,28.3,86.6,26.2,14.8,7.3,33.9,85.4,34.2
"227913002",.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,.,.,.,.,-1,-1,.,.,-1,.,.,.,.
"227913041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"227913105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228901001",58.3,.,.,-1,.,.,.,.,.,20.5,.,.,69.1,15,.,.,16.7,.,.,22.1,.,.,14.3,.,.,-1,.,.,-1,18.9,.,.,8.5,0,18.4,.,.
"228901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228903001",-1,.,.,-1,.,.,.,.,.,12.6,.,.,35.4,6.1,.,.,12.6,.,.,14.2,.,.,11.1,.,.,-1,.,.,0,10.8,.,.,8.7,0,14.9,.,.
"228903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228903042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228903103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228904001",.,.,.,.,.,.,.,.,.,21.4,.,.,-1,.,.,.,25,.,.,8.3,.,.,-1,.,.,.,.,.,.,31.3,.,.,0,-1,22.2,.,.
"228904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"228905001",-1,.,.,.,.,.,.,.,.,13.9,.,.,31.3,-1,.,.,14,.,.,18.9,.,.,-1,.,.,.,.,.,.,8.6,.,.,4.5,9.1,14.3,.,.
"228905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229901001",40,-1,-1,.,.,.,.,.,.,33.8,27.3,13.4,43.1,-1,.,.,33.3,28.6,17.1,35.6,28.6,15.6,66.7,-1,16.7,-1,.,-1,.,32.1,-1,10.8,23.3,26.1,31.5,37.5,11
"229901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229903001",33.3,-1,-1,.,.,.,.,.,.,20.7,12.5,14,56.3,15.8,-1,7.1,13.7,16.7,6.7,22.1,6.7,17.2,5.9,.,-1,9.1,-1,20,-1,19.1,22.2,10.7,7.9,0,23.8,15.8,16.1
"229903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229903103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229904001",16.7,.,.,-1,.,.,.,.,.,18.7,.,.,52.5,0,.,.,11.5,.,.,21.5,.,.,23.5,.,.,-1,.,.,.,16.1,.,.,3.7,0,19,.,.
"229904003",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229904103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229905001",-1,.,.,.,.,.,.,.,.,5.2,0,20,37.5,.,.,.,2.6,0,37.5,7.5,0,26.9,-1,0,-2,-1,.,.,.,2.3,.,0,0,0,5.4,.,0
"229905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"229906001",.,.,.,.,.,.,.,.,.,28.3,.,.,-1,0,.,.,29.4,.,.,24.1,.,.,-1,.,.,.,.,.,.,33.3,.,.,15.4,15.4,31.8,.,.
"229906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230901001",-1,.,.,.,.,.,.,.,.,31.9,-1,1,56.8,23.5,.,0,28.6,.,0,30,.,0,55.6,.,-1,-1,.,-1,.,33.7,-1,1.8,15.9,16.7,32.2,-1,1.4
"230901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230902002",14.3,.,-1,-1,-1,-1,.,.,.,30.9,21.7,28.8,53.3,20.4,0,16,23.6,26.1,17,37.7,17,33.6,31,66.7,25,-1,-1,-1,-1,24.9,27.8,24.3,11.7,15.3,33.3,21.2,32
"230902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230903001",-1,.,.,-1,.,.,.,.,.,21.6,.,.,48.2,35.7,.,.,23.7,.,.,27.7,.,.,40,.,.,.,.,.,.,16.7,.,.,16.2,6.5,18.6,.,.
"230903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230904001",-1,.,-1,-1,.,.,-1,.,-1,21.7,-1,1.8,42.1,20,.,0,18.5,.,0,21.1,.,0,23.5,.,0,.,.,.,0,22.2,-1,2.6,16.7,0,20,-1,2.9
"230904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230905001",-1,.,-1,-1,.,-1,.,.,.,29.3,54.5,6.6,60,-1,.,.,23.6,-1,4.2,26.9,37.5,11.6,28.3,.,0,-1,.,-1,14.3,31.5,-1,3.1,10.1,6.3,29.6,54.5,7.7
"230905041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230905102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230906001",10,-1,20,.,.,.,.,.,.,21.7,20,3.7,59,16,.,0,13.6,-1,4,24.6,-1,4.6,30,-1,12.5,-1,.,-1,-1,19.4,-1,2.8,9,0,22.4,-1,2.8
"230906041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230906102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230908001",10,.,-1,-1,.,-1,.,.,.,19.8,14.3,6,69.8,-1,.,.,16.4,.,0,27,-1,7.8,20,.,0,-1,.,-1,.,14.2,-1,4.5,6.7,5.9,19.9,14.3,6.7
"230908041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"230908101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"231901001",-1,.,.,.,.,.,.,.,.,23.2,.,.,55.6,-1,.,.,14.3,.,.,23.6,.,.,21,.,.,-1,.,.,-1,22.7,.,.,8.8,0,25,.,.
"231901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"231901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"231902001",.,.,.,.,.,.,.,.,.,21,.,.,52.9,.,.,.,17.6,.,.,16.1,.,.,15,.,.,-1,.,.,-1,25.8,.,.,8.7,0,24.4,.,.
"232901001",.,.,.,.,.,.,.,.,.,24.4,18.2,57.9,-1,.,.,.,23.1,16.7,42.9,33.3,14.3,70,13.6,-1,30,.,.,.,-1,16.7,-1,44.4,15.4,-1,34.8,25,88.9
"232902001",-1,.,-1,.,.,.,.,.,.,23.8,15.8,27.9,52.5,-1,.,-1,20.2,20,24.4,30.4,18.2,26.8,21.3,13.3,30.6,-1,.,-1,0,17.9,12.5,29.6,16.4,0,31.4,-1,26.7
"232902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903001",-1,.,-1,61.5,-1,33.3,-1,.,.,41.9,13.6,20.2,67.3,50,-1,20,39.2,8.3,15,45.5,11.5,20.3,40.2,10.7,17.9,-1,.,.,33.3,38.3,15.7,20.1,35.4,15.4,51.3,20,32.1
"232903002",.,.,.,.,.,.,.,.,.,0,.,.,45.2,-1,.,.,0,.,.,0,.,.,0,.,.,-1,.,.,-1,0,.,.,0,0,-1,.,.
"232903044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232903109",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"232904001",-1,.,.,.,.,.,.,.,.,55.1,.,.,66.7,-1,.,.,54.5,.,.,69.7,.,.,23.1,.,.,.,.,.,-1,41.7,.,.,38.1,18.2,63,.,.
"233901001",83.3,-1,60,-1,-1,-1,-1,.,.,23.9,23.3,22.3,-1,48,25,53.3,16.9,23.1,15.5,28.5,19.5,26.8,22.4,22.6,20.4,-1,.,-1,4.7,19.1,29.4,17.6,8.1,0.5,34.4,25.7,38.9
"233901002",-1,.,.,0,.,.,.,.,.,0.1,.,.,-1,0,.,.,0.2,.,.,0,.,.,0.1,.,.,.,.,.,0,0.2,.,.,0,0,0,.,.
"233901043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233901113",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"233903001",-1,.,.,-1,.,.,.,.,.,11.8,.,.,-1,-1,.,.,5.3,.,.,15.6,.,.,9.4,.,.,-1,.,.,.,8.3,.,.,-1,0,15.6,.,.
"234801001",-1,.,.,-1,.,-1,.,.,.,9.3,-1,3.6,50,-1,-1,-2,25,.,0,9.6,.,0,5.9,.,-1,.,.,.,.,9.1,-1,7.1,4.9,0,9.3,.,0
"234801002",.,.,.,.,.,.,.,.,.,0,.,.,.,0,.,.,0,.,.,.,.,.,0,.,.,.,.,.,.,0,.,.,0,0,0,.,.
"234902001",9.5,-1,25,60,-1,-1,-1,.,-1,27.6,65.4,19.1,62.8,15,-1,10,19.1,71.4,8.1,33.2,61.3,22,27.7,-1,10.5,33.3,.,-1,28.6,22.3,71.4,16,9.8,6.4,28.5,68.2,19.5
"234902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234903001",-1,.,.,-1,.,-1,.,.,.,0,-1,0.8,65.5,0,.,0,0,-1,1.9,0,-1,1.6,0,-1,16.7,-1,.,.,-1,0,.,0,0,0,0,.,0
"234903041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234903042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234903101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234904001",-1,.,.,.,.,.,.,.,.,24.9,.,.,59.5,-1,.,.,12.9,.,.,25.7,.,.,23.8,.,.,-1,.,.,0,24.2,.,.,8.8,3.3,25.5,.,.
"234904002",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234904041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234904101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234904102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234905001",-1,.,.,.,.,.,-1,.,-1,32.9,-1,2.9,71.9,-1,.,.,20,-1,5,37.5,-1,2.8,12.5,.,-1,-1,.,-1,-1,27.9,-1,3.1,16.7,12.5,35.9,-1,3.1
"234905101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234906001",42.9,.,-1,60,.,-1,-1,.,-1,22.3,66.7,2.9,54.7,8.3,.,0,15.8,.,0,24.4,-1,2.7,17.8,-1,2.6,33.3,.,0,0,20.2,60,3,5.8,7.1,23,75,3.3
"234906041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234906101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234906103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234906104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234907002",0,.,-1,-1,.,-1,-1,.,.,13.5,51.6,8.8,47.6,5,.,0,8,30.8,8.5,16.3,52.4,12.4,7.5,-1,8.6,0,.,.,7.1,11.1,50,5.5,3.9,0,15.3,53.6,9.5
"234907041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234907042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234907101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234907102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234909001",.,.,.,.,.,.,.,.,.,21.1,.,.,40,.,.,.,16,.,.,26.5,.,.,15.4,.,.,.,.,.,0,15.2,.,.,9.8,0,22,.,.
"234909041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"234909101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235901001",-1,.,.,.,.,.,.,.,.,9,0,9.2,61.3,11.1,-1,-1,8.1,-1,4.3,10.9,0,11.9,7.4,-1,3.2,.,.,.,0,6.9,-1,5.9,2.4,4.5,20.8,-1,33.3
"235901041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235901101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235901103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902004",.,.,.,.,.,.,.,.,.,1.8,.,.,.,0,.,.,2.5,.,.,0,.,.,3.1,.,.,.,.,.,-1,2.6,.,.,2.1,0,0,.,.
"235902006",-1,.,-1,-1,.,-1,.,.,.,35.5,-1,2.3,-1,20,.,0,37.8,-1,2.1,38.9,-1,3.9,36,-1,3.1,.,.,.,-1,30.8,.,0,21.9,-1,38.5,.,0
"235902008",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902013",23.1,-1,-1,32.1,100,41.7,.,.,.,17.4,52,6.2,58,12.4,-1,2.9,11,63.6,2.7,19.4,56.3,8,14.4,55.6,2.1,71.4,-1,20,4.8,15.5,44.4,4.5,7.3,4.7,22.8,48.4,12.4
"235902014",37.5,.,-1,8.3,.,0,.,.,.,21.3,44.9,6.6,58.1,20,-1,2,13,-1,1.2,23.8,33.3,7.2,15.7,45.5,2.8,-1,.,-1,0,18.7,59.1,6,10.5,4.2,28.9,45.9,12.5
"235902041",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902042",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902043",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902044",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902045",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902101",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902102",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902103",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902104",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902105",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902106",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902108",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902110",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902111",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902112",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902114",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902115",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902117",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902118",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902123",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902125",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235902126",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"235904001",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
